UserId, JobIds
852556,507768 15880 247633 885791 954776 806280 16037 922080 1023739 73538 78715 252020 1007908 265498 886066 684534 129858 639937 922093 971410 574128 476248 1050721 338352 306858 247997 975663 630213 330243 474216 212289 590237 971409 906229 615521 309018 396738 30066 37179 959719 381697 630294 1091385 63382 1038061 1036734 1045087 493253 585735 451753 363631 157679 1114970 906221 630230 25871 1114590 906225 1034037 840654 363628 788051 491340 478618 630261 922068 513039 46954 813603 1114487 823793 73720 823712 12011 1027476 754115 574928 558929 33725 585980 355033 626756 316444 755 1092662 1017453 180077 822655 208115 611020 718995 470057 509532 223928 274695 1097620 502687 180270 996360 799717 258731 921810 587108 328674 146195 344348 578503 506928 1094449 380504 1040235 753658 508467 823102 274858 154258 973740 1011627 564451 454129 759493 754127 1023663 563621 446606 977598 630239 770269 742591 330241 634335 1097690 260693 1072170 706354 330256 596530 63380 912530 330226 195615 637137 208104 630232 922110 630229 906591 834024 585774 922096
613605,28124 961415 1054653 889499 880231 195570 608556 57140 683926 1050681 282316 927775 255602 300974 26853 314425 545071 162700 782692 584241 900542 811921 233756 478877 927708 901920 683925 23890 812529 396326 198213 13313 638479 1045358 176191 149354 812531 265688 601021 1032353 109062 300767 861664 86106 1082920 175442 272504 278972 1053255 512686 1053248 979379 214948 885783 683929 760154 638159 797636 381978 362522 1061408 615639 1034067 811915 300740 775477 237778 212415 300745 791071 995495 739543 900553 866859 932584 315467 134528 811948 13605 1099856 812528 67864 338167 811929 850481 300774 919389 900935 194859 328408 969920 811927 1039146 814990 189831 616975 1069766 212093 900540 212094 212089 845330 616962 949957 512684 476705 311483 778350 570463 600787 277466 279237 766709 811935 264067 683928 411090 710187 278085 300721 811914 512682 1053341 905085 512693 780063 158971 1103810 1026767 580317 263412 979381 361603 824597 900568 808983 555558 1015086 911848 615658 551465 43298 811919 812530 567656 809510 308552 1101791 683927 308551
551727,198972 481 158430 949959 300527 1014185 667899 900335 534768 1014660 300543 600548 756716 524144 450 221989 1116306 261499 460 900339 62247 281475 560486 506217 600568 975380 600528 583760 1038362 458 508688 900328 900341 794197 181954 900355 874636 286283 300500 600536 262656 1075531 388753 282716 600506 475 900326 820396 1105151 36565 520654 220631 820333 600570 189857 300494 1053578 627329 103197 1055478 750196 600517 16395 583939 519933 1059690 928096 444228 501 358497 64619 510 900368 63186 1059686 900349 900321 300461 228546 274578 875779 977692 1100319 191343 817727 947677 271600 92053 885769 821501 550 220315 820820 1092766 753135 864720 198970 456571 900394 520623 820353 220696 380929 1076106 1091392 482 312761 1059256 220681 644529 323315 1065404 27801 573513 600486 547443 672379 54495 465 600525 1008011 300549 578862 239630 1044155 600577 280013 861113 937455 924757 281028 872949 899101 473680 198031 445 520632 336290 36488 220302 571421 300453 820375 220735 508877 1004194 814360 234221 520678 214709
366624,853384 1014427 509167 1107419 1009889 638921 757750 88418 207545 500405 1058706 1074859 792667 189574 1090870 1091327 598704 1105865 681882 746222 478253 281565 529201 35642 39380 478185 38551 382330 927840 772968 844885 1033537 570434 80067 979313 771930 617452 911254 263426 1045750 824186 638444 271385 567127 1100317 175256 274104 881336 792120 117381 207544 978779 71745 717506 170557 632272 636526 999194 541501 336336 789654 790410 750014 547054 1044740 323103 357662 271141 485052 912152 1074080 287156 264183 852108 1061160 896382 926306 564183 1038312 451670 162844 515600 285819 585215 985901 537879 158052 54498 286610 202075 1095634 580525 918653 1023594 373681 54500 774633 16391 560485 153651 523287 841695 861804 1070570 852607 682229 1105164 192000 705534 513120 494910 1070686 177987 281365 169467 202947 543877 855359 638926 446705 552890 845064 51375 591265 1077655 85377 853328 86106 327571 119161 28124 306734 584241 811935 1032353 381978 608556 601021 775477 778617 39407 361603 300974 551465 1061408 28033 276926 900568 1054653 683925
1033997,574385 431234 334654 477848 927674 1065111 373542 563116 586176 785030 496968 333617 1005102 229949 260292 785602 480237 344577 262621 850939 638385 560524 959603 875098 958078 262049 256110 678109 438673 1106249 783159 708853 278507 28201 1106269 8352 970677 526783 325209 854919 316025 644522 38997 554223 189054 198769 489708 663316 282585 450431 499229 336393 644521 646169 208084 800585 278789 170578 1034083 651401 363372 663313 1110861 942714 325208 663314 344576 402935 77912 262050 752439 630562 592286 939742 178325 912104 417498 646028 570553 184962 536573 155241 519145 24663 364358 854907 819995 378717 739083 381436 807860 44541 36656 432708 798628 302924 1092762 382568 311331 81156 107277 899972 325427 455734 152646 489866 485911 1100107 407450 36629 803174 662261 335116 601560 581800 789244 576710 457620 551260 573274 1094618 278500 13727 514045 54065 622708 673725 337157 489125 758300 786453 1000029 1094727 501572 1038831 189154 1018501 932521 1019344 928992 395745 301262 504205 27809 1101473 158991 688045 542408 567296 963091
1174196,751303 550308 505127 657508 111574 858238 755732 971450 361386 268316 615078 841678 153295 34193 572298 1023172 322501 607002 928535 339660 327757 5099 949749 1063997 19848 502230 469334 674114 841120 66729 528698 503457 601202 639696 189611 173704 490523 541753 877905 433258 627006 835513 455173 334107 932279 15932 1084146 554259 829937 23027 1107041 159992 27596 696031 638556 682080 611023 881795 867100 598801 370025 251962 1038308 301124 392159 653101 825598 584689 229431 985392 918679 519715 971901 460586 374314 46131 398121 580445 605318 1093531 7598 682078 1089761 644068 8763 1106709 39747 46369 938443 1089762 276207 1098417 488114 1055479 867552 375921 226749 81855 474299 339532 901390 849475 264306 219294 509576 392187 951272 172319 960180 1047300 899672 967195 411201 74088 26328 674278 173623 854797 791141 1053353 733041 582759 549783 924801 1014106 569962 601199 398123 995977 100823 666419 332740 148076 374310 523898 476423 28631 602908 775955 283175 960102 591265 759152 1106711 639252 44243 311938 587140 27257 235195
261723,770541 638922 775048 68387 829387 170444 473162 518270 1102992 899195 225507 297726 575029 164753 434525 842287 969926 741491 1019297 12619 364544 886911 263989 375863 883128 756870 200288 591265 878369 490181 916547 741492 707528 469817 601995 219292 785215 542371 778869 284105 434524 267970 564309 960184 193079 945680 10325 661315 176410 633834 1031958 33005 840672 195109 818999 1022919 310497 198276 638270 12616 455785 743636 458176 798713 842114 679408 311699 107250 75639 476615 1027857 286836 999625 271132 262696 478377 872756 39435 582368 1049974 322983 336319 519700 577795 327364 583854 280329 975071 15816 97724 273133 784854 758413 678436 378503 1045242 200052 927757 211649 85291 189858 242203 958079 670534 563599 91789 381713 978195 922533 301431 825315 554787 1092563 686296 219288 790734 614280 39291 926460 636365 768483 773586 255438 375923 519698 379430 189825 326664 865121 79368 1091065 493346 1039844 679416 274571 586529 223787 859624 480263 545521 636436 638220 931001 465975 999631 225505 447679 1018367 357060 596465
882714,802116 456617 449014 874180 595762 752651 1010917 58229 130812 192419 437448 808081 564184 908909 1080147 1080148 688863 1092900 50183 69667 822835 13298 148976 758079 717481 13175 1032422 519595 1075341 485208 784093 766183 314495 479001 580369 1098779 381246 1102826 932921 1091719 920491 752100 142459 135040 871031 1008042 1008052 449169 366888 153632 957 196603 300053 1078274 146817 654538 336293 640492 271546 283949 1066757 300007 1042648 680718 600058 25820 403896 497069 802921 473911 811833 35071 300020 812337 537961 600011 871066 1113088 946506 600033 283948 600045 1091388 18 488127 328100 28139 817048 251966 316374 747584 491965 537959 280275 855139 149199 449029 627377 40 273293 773410 880943 1058892 80574 900359 365842 187357 464796 234872 222539 814750 1014772 565961 159979 547649 524448 214688 986010 585967 886994 734242 24469 266926 591265 1077655 85377 853328 86106 327571 119161 28124 306734 584241 811935 1032353 381978 608556 601021 775477 778617 39407 361603 300974 551465 1061408 28033 276926 900568 1054653 683925
1111455,703588 11160 477387 584012 81013 109061 1113457 615613 307230 1010306 575876 945809 1072897 277583 510846 863259 1027094 919262 493305 859834 654464 1025272 673082 679409 675646 639962 957214 574102 1023587 205949 504273 953844 400171 1023485 1049137 493306 1095574 1049136 775722 38716 1003404 880946 493241 80078 518007 768722 13741 683766 168797 874735 884223 1007797 38720 511324 73537 35644 681366 598923 622968 30770 564150 280325 298813 1052612 638814 780304 1074955 638611 681633 451139 362371 919103 338943 244456 574612 295999 326012 1074353 861075 64605 579592 884713 747499 667285 1048561 381437 475888 493245 617556 40069 1034800 729936 62102 192715 957819 253916 860808 535457 202117 536080 1042359 677713 671936 555588 512923 202994 263472 639083 743919 275701 911009 374728 851559 550406 176322 249603 371055 638612 959541 81146 1095579 708763 489866 189271 1051259 451011 801586 567517 336446 1045799 442738 601496 802289 739082 567394 672896 509984 243084 682432 323189 409319 1102256 399179 38240 67918 1059034 801589 1025326 159004 780410
809864,889499 255602 577407 26853 300974 900542 57140 28124 314425 282316 278972 961415 959911 811921 584241 478877 13313 861664 23890 162700 1054653 638479 601021 300767 176191 1050681 1032353 545071 195570 812531 214948 282642 782692 608556 198213 109062 927708 758184 880231 979379 175442 812529 683926 811929 1082920 1034067 512686 396326 683925 233756 86106 919389 778350 901920 811915 739543 554509 476705 301285 1053248 979381 362522 134528 850481 791071 681128 212415 1053255 67864 778617 797636 237778 824597 13605 932584 26632 615639 638159 600792 1054430 1095590 969920 743998 1026767 775477 880148 812528 900553 264265 512684 584244 300745 328408 876870 300740 194859 624249 566459 1061408 439405 811948 512682 761 300769 253187 300721 1099856 638245 573423 1024882 199146 1101323 845330 811935 1039146 508065 966437 792167 210442 616962 1053341 866859 470773 338167 279237 381978 600787 512693 302988 28754 900540 564181 811927 900560 1095545 949957 149330 811914 569618 409095 599988 15627 263412 582166 995495 710187 91830 814990 335840 180256
