symbol,date,price
Prediction,Sep 05,32.01789254
Prediction,Oct 05,31.56502297
Prediction,Nov 05,40.53387269
Prediction,Dec 05,44.82332089
Prediction,Jan 06,50.5794087
Prediction,Feb 06,49.04981793
Prediction,Mar 06,46.96040225
Prediction,Apr 06,38.65901541
Prediction,May 06,39.72643192
Prediction,Jun 06,40.1988908
Prediction,Jul 06,33.26196817
Prediction,Aug 06,30.10046783
Prediction,Sep 06,30.67403302
Prediction,Oct 06,30.83157017
Prediction,Nov 06,35.71892724
Prediction,Dec 06,42.25960881
Prediction,Jan 07,48.81258265
Prediction,Feb 07,47.06766587
Prediction,Mar 07,39.58454
Prediction,Apr 07,37.97382413
Prediction,May 07,36.40248478
Prediction,Jun 07,40.78887547
Prediction,Jul 07,33.03316408
Prediction,Aug 07,30.48912396
Prediction,Sep 07,30.3139109
Prediction,Oct 07,32.7239196
Prediction,Nov 07,37.1445792
Prediction,Dec 07,44.43795277
Prediction,Jan 08,50.26016865
Prediction,Feb 08,44.64875787
Prediction,Mar 08,41.64817401
Prediction,Apr 08,40.94536168
Prediction,May 08,37.89803195
Prediction,Jun 08,42.38956408
Prediction,Jul 08,31.96015257
Prediction,Aug 08,30.22595745
Prediction,Sep 08,29.82650351
Prediction,Oct 08,32.03901401
Prediction,Nov 08,40.28607039
Prediction,Dec 08,41.63596568
Prediction,Jan 09,48.89403357
Prediction,Feb 09,47.59917682
Prediction,Mar 09,45.50850363
Prediction,Apr 09,42.18875673
Prediction,May 09,41.81053312
Prediction,Jun 09,39.62710451
Prediction,Jul 09,32.50625996
Prediction,Aug 09,29.77653714
Prediction,Sep 09,30.72155188
Prediction,Oct 09,31.83524527
Prediction,Nov 09,39.08013292
Prediction,Dec 09,43.50445899
Prediction,Jan 10,50.75168442
Prediction,Feb 10,47.71559672
Prediction,Mar 10,46.20377801
Prediction,Apr 10,40.4768299
Prediction,May 10,39.97440348
Prediction,Jun 10,39.28275485
Prediction,Jul 10,32.83329305
Prediction,Aug 10,29.86860203
Prediction,Sep 10,31.36568649
Prediction,Oct 10,32.00343043
Prediction,Nov 10,39.02394721
Prediction,Dec 10,43.68676119
Prediction,Jan 11,49.86108247
Prediction,Feb 11,47.99319734
Prediction,Mar 11,46.12011539
Prediction,Apr 11,43.87239424
Prediction,May 11,40.22747528
Prediction,Jun 11,41.28878757
Prediction,Jul 11,30.96299907
Prediction,Aug 11,29.98204071
Prediction,Sep 11,30.96660973
Prediction,Oct 11,30.08904236
Prediction,Nov 11,40.79226589
Prediction,Dec 11,44.13110849
Prediction,Jan 12,54.52119915
Prediction,Feb 12,47.02967703
Prediction,Mar 12,41.19674134
Prediction,Apr 12,37.89090997
Prediction,May 12,37.20888384
Prediction,Jun 12,40.53829735
Prediction,Jul 12,33.07653385
Prediction,Aug 12,30.88893355
Prediction,Sep 12,30.75866421
Prediction,Oct 12,31.40128037
Prediction,Nov 12,38.27783434
Prediction,Dec 12,44.88115717
Prediction,Jan 13,48.62071442
Prediction,Feb 13,45.33148445
Prediction,Mar 13,41.88708954
Prediction,Apr 13,42.93502209
Prediction,May 13,39.18132513
Prediction,Jun 13,39.12246988
Prediction,Jul 13,32.81030632
Prediction,Aug 13,31.16404551
Prediction,Sep 13,30.05800879
Prediction,Oct 13,32.49782086
Prediction,Nov 13,38.82578106
Prediction,Dec 13,42.57540681
Real,Sep 05,30.99469256
Real,Oct 05,29.17824958
Real,Nov 05,40.97583654
Real,Dec 05,45.27524903
Real,Jan 06,49.95608286
Real,Feb 06,48.72673183
Real,Mar 06,46.4751834
Real,Apr 06,36.56285396
Real,May 06,35.66514797
Real,Jun 06,39.42466527
Real,Jul 06,32.98267573
Real,Aug 06,29.25971156
Real,Sep 06,31.29605887
Real,Oct 06,29.56099109
Real,Nov 06,41.07848581
Real,Dec 06,42.059036
Real,Jan 07,49.40834543
Real,Feb 07,47.73268293
Real,Mar 07,41.53370573
Real,Apr 07,39.44250151
Real,May 07,33.65720315
Real,Jun 07,40.03880753
Real,Jul 07,33.61073517
Real,Aug 07,29.04903097
Real,Sep 07,28.34310103
Real,Oct 07,32.8005475
